"Unique ID","Legal","Address","City","State","Postal Code","SIC2P","SIC2P-Desc","SIC4P","SIC4P-Desc","SIC8P","SIC8P-DESC","SIC2S","SIC2S-Desc","SIC4S","SIC4S-Desc","SIC8S","SIC8S-DESC","NAICS4","NAICS4-DESC","NAICS6","NAICS6-DESC","Company Website","Reference We blink1","Reference We blink2","Reference We blink3","Reference We blink4","Current Company Name","Current Address","Company Name Match Flag","Address Match Flag","Manual SIC Confidence"
"1130555","Taking Da City Outside II","1200 Ring Rd., ","Calumet City","IL","60409","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317458","The Cleaning Ladies LLC","435 Short Hills Drive, ","Mount Royal","NJ","08061","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321176","Stephen L. Crawford, DMD","1107 Bethlehem Pike, Suite 102","Flourtown","PA","19031","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321268","Karina Kares Sitter Services","9860 Hammocks Blvd , Apt. 105-52","Miami ","FL","33196","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321319","True North Group LLC dba Envision Wealth Advisory Group","1680 The Greens Way Ste 200, ","Jacksonville Beach","FL","32250","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321341","METROMED SOLUTIONS LLC","333 W Thomas Rd, ","Phoenix","AZ","85013","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321354","Access Home Care Inc.","1330 Chestnut Dr, 19","Ypsilanti","MI","48197","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321372","Bead & Powwow Supply","1916 N Leaton Rd, ","Mount Pleasant","MI","48858","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321549","Khadijeh Abdiannia","5 TRAILVIEW CT, ","SAINT PETERS","MO","63376","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1306536","Surf Line Hawaii Ltd","411 Puuhale Road, ","Honolulu","HI","96819","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1313705","Your Signature Events","820 Central Ave, Suite G","Summerville","SC","29483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1319706","Z-AUTO REPAIR LLC","845 iolani st, ","hilo","HI","96720","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321157","BSRE & Lanning Enterprises","4130 Proton Dr, 6D","Addison","TX","75001","","","","","","","","","","","","","","","","","","","","","","","","","",""
